symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,charges,pnl,holding_days
JINDALSTEL,2022-03-02,2022-04-11,428.53,571.2,75,FORCED_2DAY_AFTER_TARGET,94.55,10605.7,40
VBL,2022-03-22,2022-04-19,127.84,139.930625,684,SL,211.02,8058.97,28
NATIONALUM,2022-02-28,2022-04-25,122.21,110.5,341,SL,100.36,-4093.47,56
VEDL,2022-02-28,2022-04-25,345.27,375.05,126,NO_TARGET,112.04,3640.24,56
COALINDIA,2022-03-02,2022-04-25,155.47,171.5,216,NO_TARGET,90.41,3372.07,54
TATASTEEL,2022-03-03,2022-04-26,130.6,122.5,225,NO_TARGET,76.11,-1898.61,54
OIL,2022-04-01,2022-05-02,160.65,149.35,353,SL,132.69,-4121.59,31
CUMMINSIND,2022-03-10,2022-05-04,1007.21,1010.4,48,NO_TARGET,118.85,34.27,55
NESTLEIND,2022-04-25,2022-05-05,1834.07,1775.1,67,SL,275.0,-4225.99,10
MARICO,2022-04-27,2022-05-06,535.16,503.0,124,SL,153.44,-4141.28,9
COALINDIA,2022-05-04,2022-05-10,174.52,163.6,366,SL,148.08,-4144.8,6
HAVELLS,2022-05-11,2022-05-12,1237.81,1193.25,89,SL,247.64,-4213.48,1
TIINDIA,2022-05-16,2022-05-23,1763.78,1575.05,21,SL,90.42,-4053.75,7
BDL,2022-05-12,2022-05-24,328.58,379.05421874999996,164,SL,138.89,8138.89,12
APOLLOTYRE,2022-05-17,2022-06-13,212.46,194.0,216,SL,109.43,-4096.79,27
COLPAL,2022-04-21,2022-06-14,1540.56,1500.1,73,NO_TARGET,253.59,-3207.17,54
PHOENIXLTD,2022-05-23,2022-06-16,553.65,508.0,87,SL,114.34,-4085.89,24
NHPC,2022-05-13,2022-06-17,31.76,30.05,2339,SL,170.47,-4170.16,35
HDFCLIFE,2022-06-16,2022-06-17,585.11,570.15,267,SL,346.64,-4340.96,1
VBL,2022-06-23,2022-06-27,152.56,146.1,619,SL,213.79,-4212.53,4
ASHOKLEY,2022-06-20,2022-07-01,128.19,141.35,809,FORCED_2DAY_AFTER_TARGET,248.36,10398.08,11
MFSL,2022-07-01,2022-07-08,792.94,845.3275,143,SL,266.03,7225.38,7
PHOENIXLTD,2022-06-21,2022-08-10,551.74,633.393125,110,SL,154.22,8827.63,50
LODHA,2022-06-30,2022-08-23,534.61,522.5,100,NO_TARGET,128.48,-1339.48,54
INFY,2022-07-29,2022-09-07,1532.07,1445.0,45,SL,159.06,-4077.21,40
ASHOKLEY,2022-08-24,2022-09-07,142.76,159.54609375,493,SL,174.34,8101.2,14
M&MFIN,2022-08-05,2022-09-12,197.78,225.45,385,FORCED_2DAY_AFTER_TARGET,189.12,10463.83,38
ZYDUSLIFE,2022-09-07,2022-09-16,375.67,365.75,403,SL,336.25,-4334.01,9
TORNTPHARM,2022-07-28,2022-09-20,1506.44,1490.0,52,NO_TARGET,182.32,-1037.2,54
NAUKRI,2022-07-29,2022-09-21,824.1,805.0,67,NO_TARGET,132.18,-1411.88,54
GODREJCP,2022-09-20,2022-09-26,908.57,882.2,151,SL,305.74,-4287.61,6
HAVELLS,2022-09-20,2022-09-26,1326.6,1284.4,94,SL,278.89,-4245.69,6
BHARATFORG,2022-09-21,2022-09-26,776.56,734.1,94,SL,167.7,-4158.94,5
ASIANPAINT,2022-09-28,2022-09-30,3517.5,3354.0,24,SL,192.33,-4116.33,2
ASTRAL,2022-09-29,2022-09-30,1665.44,1602.55,63,SL,236.37,-4198.44,1
ACC,2022-09-30,2022-10-03,2396.92,2321.3,52,SL,278.79,-4211.03,3
SRF,2022-09-01,2022-10-25,2567.77,2495.0,16,NO_TARGET,101.92,-1266.24,54
BAJFINANCE,2022-10-03,2022-10-27,739.68,702.5,107,SL,180.94,-4159.2,24
UNIONBANK,2022-09-30,2022-10-28,44.67,53.65,1444,FORCED_2DAY_AFTER_TARGET,166.4,12800.72,28
MAXHEALTH,2022-10-03,2022-11-03,414.06,462.735,154,SL,159.34,7336.61,31
ETERNAL,2022-11-07,2022-11-16,63.97,68.7,2030,FORCED_2DAY_AFTER_TARGET,303.55,9298.35,9
GLENMARK,2022-09-30,2022-11-23,394.81,417.2,149,NO_TARGET,144.56,3191.55,54
INDIANB,2022-09-30,2022-11-25,198.29,269.9229687500003,290,SL,159.16,20614.4,56
DRREDDY,2022-11-16,2022-12-16,892.94,863.0,133,SL,266.1,-4248.12,30
ETERNAL,2022-12-01,2022-12-16,67.13,61.9,764,SL,121.02,-4116.74,15
BDL,2022-11-23,2022-12-20,487.42,456.5,129,SL,145.95,-4134.63,27
SAIL,2022-11-07,2022-12-22,84.82,79.3,724,SL,142.78,-4139.26,45
CHOLAFIN,2022-12-21,2022-12-22,753.7,720.55,120,SL,205.23,-4183.23,1
KPITTECH,2022-12-19,2022-12-23,711.99,683.35,139,SL,223.55,-4204.51,4
VEDL,2022-11-02,2022-12-26,268.13,259.8,244,NO_TARGET,153.38,-2185.9,54
TIINDIA,2022-12-20,2022-12-26,3003.19,2735.1,14,SL,101.39,-3854.65,6
HINDALCO,2022-12-27,2023-01-20,447.63,489.09421875,199,SL,214.52,8036.86,24
GLENMARK,2022-11-28,2023-01-23,430.64,411.0,135,NO_TARGET,137.09,-2788.49,56
